TXT File,CSV File,Δ Time (s),Status
Global-B-Log_T516_L001_Unit8924_FC5.txt,_CM_NOK_2026_06_18_17_33_trial 6_8944_2^0.csv,463.33,DIFFERENT RUN
Global-B-Log_T517_L001_Unit8924_FC5.txt,_CM_NOK_2026_06_18_17_33_trial 6_8944_2^0.csv,270.4,SAME RUN
Global-B-Log_T518_L001_Vergin_Unit8919_Passed.txt,_CM_OK_2026_06_18_18_51_trrial 17_virgin_8599.csv,481.04,DIFFERENT RUN
Global-B-Log_T519_L001_Vergin_Unit8599_Passed.txt,_CM_OK_2026_06_18_18_51_trrial 17_virgin_8599.csv,893.39,DIFFERENT RUN
Global-B-Log_T520_L001_Unit8924_FC5.txt,_CM_NOK_2026_06_18_17_48_trial 10_8938_2^0.csv,88.38,SAME RUN
Global-B-Log_T521_L001_Unit8924_FC5.txt,_CM_NOK_2026_06_18_18_02_trial 12_8938_2^0.csv,120.33,SAME RUN
Global-B-Log_T522_L001_Unit8944_FC5.txt,_CM_NOK_2026_06_18_18_02_trial 12_8938_2^0.csv,0.41,SAME RUN
Global-B-Log_T523_L001_Unit8944_FC5.txt,_CM_NOK_2026_06_18_18_02_trial 12_8938_2^0.csv,77.26,SAME RUN
Global-B-Log_T524_L001_Unit8938_CWOD_DTC45DD.txt,_CM_NOK_2026_06_18_18_02_trial 12_8938_2^0.csv,482.65,DIFFERENT RUN
Global-B-Log_T525_L001_Unit8938_FC5_dockIN_Sideshaft.txt,_CM_NOK_2026_06_18_18_21_trial 13_8938.csv,256.08,SAME RUN
